,Name,sigma0,sigma_global,MV,Re,mV0,re
153,B262,8.3,6.6,-6.895,1.51,17.56547301,0.39930751
154,B266,4.1,3.4,-7.795,2.84,16.66547301,0.751015448
155,B268,5.7,4.8,-6.395,0.829850768,18.06547301,0.219447446
156,B283-G296,3.7,3.1,-7.045,3.440000057,17.41547301,0.909680699
157,B335-V013,5.6,4.6,-8.595,5.46999979,15.86547301,1.446498009
158,B341-G081,8.2,6.5,-8.82,2.369999886,15.64047301,0.62672765
159,B350-G162,6.4,5.4,-8.095,4.619999886,16.36547301,1.221722284
160,B472-D064,18.5,15.3,-9.62,1.71,14.84047301,0.452195921
161,B515,2.9,2.4,-6.345,4.88,18.11547301,1.290477249
162,PHF6-1,7.6,5.9,-7.195,1.01,17.26547301,0.26708648
