Name,Type,RAJ2000,DEJ2000,VMAG,M*,n_M*,Re,sigma,Refs,Central?,Reference,SimbadName,LogM*,Environment,UCD_Type,Re_err,sigma_err,MV_err
NGC4546-UCD1,6,188.869583,-3.789194,-12.9,35900000,*,25.5,21.8,"42,44",N,44,[NK2011] NGC 4546 UCD1,7.5550942,NGC 4546,NSC,1.3,2.5,0.2
NGC4565-AIMSS1,6,189.155,25.962306,-12.4,8224000,*,17.4,13.8,44,N,44,-,6.915083,NGC 4565,UKW,1.4,8.1,0.2
NGC4621-AIMSS1,6,190.470417,11.629972,-11.9,16410000,*,10.2,33.9,44,N,44,-,7.2151084,NGC 4621,UKW,0.4,4.4,0.07
HCH99-C15/GC0213,5,201.374583,-43.001083,-10.5,2986000,*,5.7,33.4,54,Y,54,[HCH99] 15,6.47509,NGC 5128,UKW,,,
HCH99-C18/GC0225,5,201.381667,-43.0005,-11,2852000,*,13.5,24.1,54,Y,54,[HCH99] 18,6.4551497,NGC 5128,UKW,,,
HCH99-C2/GC0171,5,201.318333,-43.035194,-10,822400,*,11.2,18.8,54,Y,54,[HCH99] 2,5.915083,NGC 5128,UKW,,,
VUCD5,5,187.799583,12.683667,-12.5,21630000,*,19.2,28.2,"29,16,17,4",N,16,[JDJ2006] 5,7.3350563,NGC 4486,UKW,,,
VUCD3/S547,5,187.739167,12.429111,-12.8,45200000,*,20,42.1,"29,16,17,4",N,16,[JDJ2006] 3,7.6551385,NGC 4486,UKW,,,
FCOS1-2089/F-59,5,54.703583,-35.462194,-10.5,2601000,*,5.7,12,"39,40",Y,39,FCOS 1-2089,6.41514,NGC 1399,UKW,,,
UCD41/FCOS0-2031/F-12,5,54.621,-35.382361,-11.6,9888000,*,10.3,30,"17,39,40",Y,39,[GDE2009] UCD 41,6.9951086,NGC 1399,UKW,,,
UCD6/FCOS2-2143,5,54.521167,-35.402667,-12.6,22650000,*,10.3,28,"30,36,37,11,17",N,11,[GDE2009] UCD 6,7.355068,NGC 1399,UKW,,,
