,Name,E(B-V),D,Mass,mV,Re,Rhm,sigma0,sigma_global,(m-M)V,MV,re,mV0,,,,,,,,
58,NGC_6273,0.38,8.34,719000,6.88,3.16,4.7,11.6,9.36624317,14.60583025,-8.903830253,78.15308832,5.702,,,,,,,,
59,NGC_6284,0.28,14.21,174000,8.99,2.94,4.04,6.8,4.969742126,15.76297039,-7.64097039,42.67547655,8.122,,,,,,,,
60,NGC_6287,0.6,7.93,130000,9.4,1.94,2.81,6.8,5.150725778,14.49636594,-6.956365937,50.46074604,7.54,,,,,,,,
61,NGC_6293,0.36,9.19,142000,8.4,2.21,3.18,7.5,5.060349638,14.81657756,-7.532577557,49.60230827,7.284,,,,,,,,
62,NGC_6304,0.54,6.15,103000,8.18,1.83,3.05,5.7,4.400668001,13.94437558,-7.438375579,61.37635517,6.506,,,,,,,,
63,NGC_6316,0.54,11.15,347000,9.01,3.15,6.08,7.6,5.720880293,15.23637434,-7.900374337,58.2721186,7.336,,,,,,,,
64,NGC_6341,0.02,8.5,273000,6.51,2.03,3.59,9.1,6.603649464,14.64709463,-8.199094629,49.26088808,6.448,,,,,,,,
65,NGC_6325,0.91,7.53,61900,10.9,1.72,2.38,5.3,3.861950995,14.38397488,-6.304974881,47.114935,8.079,,,,,,,,
66,NGC_6333,0.38,8.3,308000,7.65,2.74,3.81,8.6,6.808677802,14.59539046,-8.123390462,68.09223477,6.472,,,,,,,,
67,NGC_6342,0.46,8.01,37700,9.86,1.48,1.86,4.6,3.409291343,14.51816258,-6.08416258,38.11134953,8.434,,,,,,,,
68,NGC_6356,0.28,15.66,565000,8.32,3.99,7.73,8.1,6.474174333,15.97395879,-8.521958789,52.55405869,7.452,,,,,,,,
69,NGC_6355,0.77,8.65,99100,10.04,2.36,3.34,5.6,4.12490078,14.68508054,-7.032080537,56.27571453,7.653,,,,,,,,
70,NGC_6352,0.22,5.54,60200,8.06,3.23,4.8,3.4,2.681807121,13.71754882,-6.339548824,120.2590702,7.378,,,,,,,,
72,NGC_6366,0.71,3.44,46600,8.85,3.78,6.42,2.5,2.040212279,12.68279221,-6.033792213,226.6513529,6.649,,,,,,,,
73,HP_1,1.12,7,137000,11.07,3.1,4.19,5.4,4.330152431,14.2254902,-6.6274902,91.34583679,7.598,,,,,,,,
74,NGC_6362,0.09,7.65,117000,7.45,5.13,7.24,3.7,3.044202656,14.41830718,-7.247307176,138.3187317,7.171,,,,,,,,
76,NGC_6380,1.17,9.61,341000,10.7,3.14,4.42,8.3,6.651444437,14.91361694,-7.840616938,67.39557425,7.073,,,,,,,,
77,Ton_2,1.24,6.99,43100,11.66,2.86,4.26,3,2.408705744,14.22238588,-6.406385879,84.39446537,7.816,,,,,,,,
78,NGC_6388,0.37,11.17,1310000,6.82,2.61,5.37,16.3,11.82764872,15.24026587,-9.567265866,48.19616244,5.673,,,,,,,,
79,NGC_6402,0.6,9.14,595000,7.87,3.54,4.92,10.2,8.327714814,14.80473098,-8.794730979,79.88811571,6.01,,,,,,,,
80,NGC_6401,0.72,7.44,121000,9.97,2.31,3.17,6,4.678568223,14.35786468,-6.619864678,64.04189343,7.738,,,,,,,,
81,NGC_6397,0.18,2.48,82400,5.45,2.17,3.16,5.4,3.866962649,11.9722584,-7.080258404,180.4816594,4.892,,,,,,,,
82,Pal_6,1.46,7.05,85600,11.6,2.27,2.91,5.1,4.107147506,14.24094558,-7.166945585,66.41433957,7.074,,,,,,,,
83,NGC_6426,0.36,20.71,73100,11.13,5.2,7.88,2.8,2.306457691,16.58090049,-6.566900494,51.79029309,10.014,,,,,,,,
84,NGC_6440,1.07,8.25,569000,8.97,1.32,2.8,14,10.79510896,14.58226974,-8.929269743,33.00236872,5.653,,,,,,,,
85,NGC_6441,0.47,12.73,1390000,7.12,2.14,4.3,17.6,13.61517052,15.52414202,-9.861142018,34.67452327,5.663,,,,,,,,
86,NGC_6453,0.64,10.07,168000,9.19,2.76,3.87,7.1,4.989408597,15.01514735,-7.809147353,56.53335164,7.206,,,,,,,,
88,NGC_6496,0.15,9.64,74400,8.65,4.26,7.01,3,2.467046705,14.92038517,-6.73538517,91.15020928,8.185,,,,,,,,
89,NGC_6517,1.08,9.23,216000,10.69,1.7,2.88,9.2,6.558137899,14.82600851,-7.484008505,37.99026724,7.342,,,,,,,,
90,NGC_6522,0.48,7.29,214000,8.28,2.48,3.15,8.2,6.241680332,14.31363764,-7.521637642,70.16964331,6.792,,,,,,,,
91,NGC_6535,0.34,6.36,19800,10.1,2.7,3.43,2.5,1.819430404,14.01728558,-4.971285578,87.56524267,9.046,,,,,,,,
92,NGC_6528,0.54,7.83,94400,9.71,2.45,5.01,4.6,3.287131264,14.46880881,-6.43280881,64.54007137,8.036,,,,,,,,
93,NGC_6539,1.02,8.16,215000,9.94,3.69,5.16,6,4.888147383,14.55845079,-7.780450794,93.27415235,6.778,,,,,,,,
94,NGC_6540,0.66,5.91,56200,9.74,2.65,4.49,3.8,2.679136863,13.8579374,-6.163937404,92.48759728,7.694,,,,,,,,
95,NGC_6544,0.76,2.58,81500,7.86,1.54,2.24,6.3,4.567775049,12.05809853,-6.55409853,123.1192883,5.504,,,,,,,,
96,NGC_6541,0.14,7.61,257000,6.61,2.29,3.81,9.2,6.219478725,14.40692328,-8.230923284,62.0691711,6.176,,,,,,,,
97,NGC_6553,0.63,5.33,229000,8.04,2.3,2.88,8.5,6.752605995,13.63363605,-7.546636045,89.00732175,6.087,,,,,,,,
98,NGC_6558,0.44,7.79,31300,9.66,1.54,1.96,4.1,3.026175046,14.45768729,-6.161687288,40.77635398,8.296,,,,,,,,
99,IC_1276,1.08,4.55,74300,9.92,3.2,4.98,3.7,2.925025444,13.29005698,-6.718056983,145.0653343,6.572,,,,,,,,
100,NGC_6569,0.53,10.53,229000,8.9,2.6,3.46,7.6,6.160693524,15.11214186,-7.855141856,50.92958075,7.257,,,,,,,,
101,BH_261,0.36,6.12,23800,11.26,2.94,4.45,2.2,1.751291282,13.93375711,-3.789757111,99.08798754,10.144,,,,,,,,
102,NGC_6584,0.1,13.61,115000,8.76,3.47,5.37,4.4,3.50438401,15.66929063,-7.219290626,52.58918899,8.45,,,,,,,,
103,NGC_6624,0.28,8.02,103000,8.03,1.7,2.25,7,5.123624173,14.52087184,-7.358871841,43.72196576,7.162,,,,,,,,
104,NGC_6626,0.4,5.37,270000,6.85,1.61,2.33,10.4,8.151805975,13.64987143,-8.039871428,61.84102944,5.61,,,,,,,,
105,NGC_6638,0.41,9.78,124000,8.79,1.84,2.28,7,5.5846162,14.95169427,-7.432694274,38.80646616,7.519,,,,,,,,
106,NGC_6637,0.18,8.9,138000,7.62,2.41,3.19,6.3,4.980742783,14.74695003,-7.684950033,55.85372707,7.062,,,,,,,,
107,NGC_6642,0.4,8.05,39500,9.65,1.37,1.73,5,3.618473605,14.5289794,-6.118979402,35.10345116,8.41,,,,,,,,
108,NGC_6652,0.09,9.46,40900,8.92,1.46,1.85,4.8,3.560620619,14.87945568,-6.238455682,31.8336802,8.641,,,,,,,,
109,NGC_6656,0.34,3.3,470000,5.06,3.18,5.21,9.1,7.192501813,12.5925697,-8.586569699,198.7642063,4.006,,,,,,,,
110,Pal_8,0.32,11.32,71300,10.11,3.46,6.14,3.2,2.580539387,15.26923213,-6.151232134,63.04560136,9.118,,,,,,,,
111,NGC_6681,0.07,9.36,105000,7.91,2.16,3.04,6.5,4.450489394,14.85637924,-7.163379244,47.59956983,7.693,,,,,,,,
