Name,Type,RAJ2000,DEJ2000,VMAG,M*,n_M*,Re,sigma,Refs,Central?,Reference,SimbadName,Environment,UCD_Type
S928,5,187.69875,12.408556,-11.5,4316000,*,23.2,22.4,"56,41",Y,56,[SFH81] 928,NGC 4486,UKW
S490,5,187.747083,12.356389,-11,9888000,*,3.6,42.1,"56,41",N,56,[SFH81] 490,NGC 4486,UKW
S417,5,187.75625,12.323611,-11.8,9018000,*,14.4,32.9,"56,16,41",Y,56,[SFH81] 417,NGC 4486,UKW
VUCD4,5,187.768792,11.943556,-12.4,8612000,*,23.2,23.9,"29,16,17,4,41",N,16,[JDJ2006] 4,NGC 4486,UKW
S314,5,187.77125,12.334444,-10.9,7163000,*,3.2,35.3,"56,41",Y,56,[SFH81] 314,NGC 4486,UKW
VUCD6,5,187.868375,12.417583,-12.2,9443000,*,17.4,25.2,"29,16,17,41",N,16,[JDJ2006] 6,NGC 4486,UKW
VUCD7,5,187.970542,12.266528,-13.6,16410000,*,100.6,38,"29,16,17,41",N,16,[JDJ2006] 7,NGC 4486,NSC
M59cO,5,190.480542,11.667694,-13.4,75010000,*,32,28.3,"10,41",N,44,Name M59cO,NGC 4486,NSC
HGHH92-C29/GC0041,5,201.168333,-43.301083,-10.1,2265000,*,6.8,19.7,"54,41",Y,54,[HGH92] G 29,NGC 5128,UKW
HGHH92-C11/GC0077,5,201.2275,-43.023,-10.3,3127000,*,7.7,19.5,"54,41",Y,54,[HGH92] G 11,NGC 5128,UKW
VHH81-C3,5,201.242542,-42.936111,-10.5,3127000,*,4.2,16.1,"48,41",Y,48,[VHH81] 3,NGC 5128,UKW
f2.GC61/GC0150,5,201.304167,-43.133306,-10,1429000,*,1.9,19.6,"54,41",Y,54,[R2001b] f2.GC-61,NGC 5128,UKW
VHH81-C5,5,201.317167,-42.882833,-10.5,1135000,*,8.8,15.8,"48,41",Y,48,[VHH81] 5,NGC 5128,UKW
HGHH92-C6,5,201.342458,-43.046,-11,3590000,*,4.3,20.7,"48,41",Y,48,[VHH81] 6,NGC 5128,UKW
HGHH92-C17/GC0265,5,201.415,-42.932833,-10.6,1429000,*,5.6,24.1,"54,41",Y,54,[HGH92] G 17,NGC 5128,UKW
HGHH92-C21/GC0320,5,201.469583,-43.096278,-10.3,1365000,*,6.8,23,"54,41",Y,54,[HGH92] G 21,NGC 5128,UKW
HGHH92-C22/GC0326,5,201.472083,-42.985444,-10.1,988800,*,3.7,23.1,"54,41",Y,54,[HGH92] G 22,NGC 5128,UKW
HGHH92-C23/GC0330,5,201.47625,-42.990389,-11,5958000,*,3.3,50,"54,41",Y,54,[HGH92] G 23,NGC 5128,UKW
HGHH92-C7/GC0365,5,201.521667,-42.942472,-11,2265000,*,7.4,27.3,"54,41",Y,45,[HGH92] G 7,NGC 5128,UKW
Sombrero-UCD1,5,190.013042,-11.667861,-12.3,16410000,*,14.7,31.9,"26,44",Y,44,NAME Sombrero UCD 1,NGC 4594,NSC
NGC0524-AIMSS1,6,21.19,9.55725,-12.6,49560000,*,39.9,31.7,44,N,44,-,NGC 0524,UKW
NGC1172-AIMSS1,6,45.401667,-14.847667,-11.6,6841000,*,6.4,40.7,44,N,44,-,NGC 1172,UKW
Perseus-UCD13,6,49.937917,41.535,-12.8,27230000,*,88.6,35,"45,44",Y,44,[PFC2012] UCD13,NGC 1275,NSC
NGC2768-AIMSS1,6,137.903333,60.071139,-12.1,5434000,*,6.4,38.1,44,N,44,-,NGC 2768,UKW
NGC3115-AIMSS1,6,151.315833,-7.714333,-11.3,10840000,*,8.6,36.9,44,N,44,-,NGC 3115,UKW
NGC3923-UCD1,6,177.767083,-28.8055,-12.4,19730000,*,12.3,33,"42,43,44",N,44,[NK2011] NGC 3923 UCD1,NGC 3923,GGC
NGC3923-UCD2,6,177.732917,-28.805111,-11.9,6533000,*,13,23.1,"42,43,44",N,44,[NK2011] NGC 3923 UCD2,NGC 3923,GGC
NGC3923-UCD3,6,177.771667,-28.816361,-11.3,2372000,*,14.1,15.5,"42,43,44",N,44,[NK2011] NGC 3923 UCD3,NGC 3923,GGC
NGC4350-AIMSS1,6,185.99625,16.685528,-12.2,15670000,*,15.4,25.5,44,N,44,-,NGC 4350,UKW
NGC4546-UCD1,6,188.869583,-3.789194,-12.9,35900000,*,25.5,21.8,"42,44",N,44,[NK2011] NGC 4546 UCD1,NGC 4546,NSC
NGC4565-AIMSS1,6,189.155,25.962306,-12.4,8224000,*,17.4,13.8,44,N,44,-,NGC 4565,UKW
NGC4621-AIMSS1,6,190.470417,11.629972,-11.9,16410000,*,10.2,33.9,44,N,44,-,NGC 4621,UKW
HCH99-C15/GC0213,5,201.374583,-43.001083,-10.5,2986000,*,5.7,33.4,54,Y,54,[HCH99] 15,NGC 5128,UKW
HCH99-C18/GC0225,5,201.381667,-43.0005,-11,2852000,*,13.5,24.1,54,Y,54,[HCH99] 18,NGC 5128,UKW
HCH99-C2/GC0171,5,201.318333,-43.035194,-10,822400,*,11.2,18.8,54,Y,54,[HCH99] 2,NGC 5128,UKW
VUCD5,5,187.799583,12.683667,-12.5,21630000,*,19.2,28.2,"29,16,17,4",N,16,[JDJ2006] 5,NGC 4486,UKW
VUCD3/S547,5,187.739167,12.429111,-12.8,45200000,*,20,42.1,"29,16,17,4",N,16,[JDJ2006] 3,NGC 4486,UKW
FCOS1-2089/F-59,5,54.703583,-35.462194,-10.5,2601000,*,5.7,12,"39,40",Y,39,FCOS 1-2089,NGC 1399,UKW
UCD41/FCOS0-2031/F-12,5,54.621,-35.382361,-11.6,9888000,*,10.3,30,"17,39,40",Y,39,[GDE2009] UCD 41,NGC 1399,UKW
UCD6/FCOS2-2143,5,54.521167,-35.402667,-12.6,22650000,*,10.3,28,"30,36,37,11,17",N,11,[GDE2009] UCD 6,NGC 1399,UKW
