,Name,E(B-V),D,er_D,Mass,er_Mass,MLR,er_MLR,mV,er_mV,Re,Rhm,sigma0,sigma_global,er_sigma_global,(m-M)V,er_(m-M)V,MV,er_MV,re,er_re,mV0
116,NGC_6749,1.5,7.59,0.21,205000.0,41100.0,1.35,0.28,10.91,0.06,4.17,6.1,5.4,4.389973773792823,0.4400681026899634,14.401208879477402,0.06008026429491625,-8.141208879477402,0.08490958813789518,113.32334064665294,1.520098277276339e-05,6.26
117,NGC_6752,0.04,4.12,0.04,261000.0,3340.0,2.21,0.11,5.35,0.05,2.86,4.75,7.7,5.61336602268967,0.035916939685409,13.074486080165673,0.02108225640307047,-7.8484860801656735,0.054262892800189026,143.18379881323852,6.739557502657852e-06,5.226
118,NGC_6760,0.77,8.41,0.43,286000.0,25600.0,1.91,0.19,8.89,0.05,3.35,5.74,6.6,5.345360290679649,0.23923290811433393,14.62397997898956,0.11102653223448172,-8.12097997898956,0.12176572120270306,82.16255224509308,2.0366725126709574e-05,6.503
119,NGC_6779,0.26,10.43,0.14,166000.0,7570.0,1.55,0.1,8.15,0.05,2.96,4.42,5.8,4.640799675024886,0.10581582391547707,15.091421542132654,0.029147280664647772,-7.7474215421326535,0.05787541766712142,58.537278053712306,3.8093519102741496e-06,7.344
120,Pal_10,1.66,8.94,1.18,125000.0,21000.0,1.45,0.25,12.37,0.03,4.03,6.91,3.9,3.2208158556140574,0.27054853187158084,14.756687593979589,0.28661492653570303,-7.532687593979589,0.288180700452106,92.98066139498792,5.949930976179326e-05,7.223999999999999
122,NGC_6809,0.08,5.35,0.05,197000.0,5520.0,2.1,0.08,6.29,0.03,4.6,6.78,5.0,4.08195468195193,0.05718880671161079,13.641768910106144,0.020294134668376252,-7.599768910106144,0.03621949615798363,177.34913549964955,8.03563035954447e-06,6.042
124,NGC_6838,0.25,4.0,0.05,37800.0,1380.0,0.99,0.05,7.16,0.03,3.32,4.81,2.6,2.122869387596602,0.03875079040850939,13.010299956639813,0.027143405118953235,-6.625299956639813,0.040456945527951274,171.19974987192796,1.0374992852667424e-05,6.385
125,NGC_6864,0.16,20.52,0.45,459000.0,58400.0,2.05,0.27,8.51,0.04,2.05,2.94,12.3,9.461992299416893,0.601939379396456,16.560886782198892,0.047620008980619716,-8.546886782198893,0.062190555997790394,20.606376773870245,2.19084502447328e-06,8.014
126,NGC_6934,0.1,15.72,0.17,150000.0,3730.0,1.67,0.06,8.74,0.03,2.96,4.71,5.5,4.273513583002059,0.05313401888199227,15.982262708516942,0.023482844123267427,-7.552262708516942,0.03809782104159863,38.838665348332114,2.0362708003896502e-06,8.43
127,NGC_6981,0.05,16.66,0.18,81200.0,12800.0,1.59,0.26,9.32,0.04,4.14,5.79,3.5,2.8358851957462923,0.22351804498492944,16.108374985353848,0.02346128653739055,-6.943374985353847,0.04637275025259493,51.256679488929684,2.6848672985969237e-06,9.165000000000001
128,NGC_7006,0.05,39.32,0.56,132000.0,35100.0,1.54,0.41,10.69,0.04,4.31,6.59,4.2,3.3891763797456123,0.4506064050343597,17.97306754580049,0.030926361885277337,-7.4380675458004895,0.050561248594740364,22.609392455862267,1.561127138853093e-06,10.535
129,NGC_7078,0.1,10.71,0.1,518000.0,6560.0,1.29,0.08,6.28,0.07,2.03,3.66,13.1,9.00895152057875,0.0570450984314639,15.148947354159276,0.020275185896510353,-9.178947354159275,0.07287717861675254,39.09594319955874,1.7697710256821732e-06,5.970000000000001
130,NGC_7089,0.06,11.69,0.11,624000.0,7950.0,1.76,0.07,6.48,0.04,3.05,4.76,11.1,8.67039196465778,0.05523206419794019,15.339072555809203,0.020433016684926305,-9.045072555809202,0.04491668031863527,53.81588064830639,2.455067700320239e-06,6.2940000000000005
131,NGC_7099,0.03,8.46,0.09,121000.0,2620.0,1.61,0.08,7.37,0.05,2.54,4.27,5.9,4.031147231149007,0.043642998948803295,14.636851815195119,0.023100770314002747,-7.359851815195118,0.05507854018672164,61.928202378896735,3.1940040378245497e-06,7.277
