,Name,E(B-V),D,er_D,Mass,er_Mass,MLR,er_MLR,mV,er_mV,Re,Rhm,sigma0,sigma_global,er_sigma_global,(m-M)V,er_(m-M)V,MV,er_MV,re,er_re,mV0
33,IC_4499,0.23,18.89,0.25,150000.0,25200.0,2.21,0.38,9.84,0.05,10.26,14.96,2.9,2.3978926995268623,0.20142298676025644,16.381159789609168,0.028738385515037834,-7.254159789609169,0.05767057136886141,112.03158835312179,7.188252523553539e-06,9.126999999999999
34,NGC_5824,0.13,31.71,0.6,746000.0,40700.0,1.99,0.17,8.86,0.07,4.51,6.31,11.3,8.233882151621083,0.22461059220574942,17.50598121013544,0.04108746281014681,-9.048981210135443,0.0811676019121866,29.33630620945757,2.6911338527461136e-06,8.456999999999999
36,NGC_5897,0.09,12.55,0.24,167000.0,9810.0,2.37,0.16,8.48,0.04,7.62,10.9,3.6,2.9641139773800536,0.08705975484460575,15.493218629085284,0.04152616560031092,-7.2922186290852835,0.05765780458415362,125.23805820389353,1.161123998539907e-05,8.201
37,NGC_5904,0.03,7.48,0.06,392000.0,4420.0,1.81,0.05,5.95,0.03,3.52,5.6,7.9,6.335763136382121,0.03571948094746043,14.369507989322308,0.017418227883820254,-8.512507989322309,0.03468997928239066,97.06578400992561,3.7747711049264364e-06,5.857
38,NGC_5927,0.45,8.27,0.11,293000.0,4720.0,1.74,0.07,7.74,0.04,3.11,5.92,6.6,5.327492776343876,0.04291086331799162,14.587527547762733,0.02888294619670961,-8.242527547762732,0.04933786153657272,77.56753533119863,5.001980492424572e-06,6.345000000000001
39,NGC_5946,0.54,9.64,0.51,113000.0,15800.0,1.91,0.3,9.49,0.08,1.96,2.83,6.2,4.785153972457153,0.3345373131186859,14.920385169514155,0.1148808017482668,-7.104385169514155,0.13999142334559136,41.937657123807384,1.0756529229413634e-05,7.816
40,NGC_5986,0.28,10.54,0.13,299000.0,5410.0,1.71,0.07,7.7,0.04,2.84,4.35,8.0,6.278282860003805,0.05679851216157288,15.114203054382639,0.02678286653103545,-8.282203054382638,0.048138570186693944,55.577991989086506,3.323383344869633e-06,6.832
41,Lynga_7,0.73,7.9,0.16,67500.0,9020.0,1.41,0.26,9.87,0.14,3.91,4.97,3.4,2.790767165908179,0.18646459138142057,14.488135456452206,0.04397918804083562,-6.881135456452206,0.1467452519870104,102.08801602183404,1.0024032154327738e-05,7.606999999999999
43,NGC_6093,0.18,10.34,0.12,321000.0,8920.0,1.97,0.08,7.43,0.03,1.93,2.82,11.1,8.07937702020355,0.11225551872307735,15.07260269378962,0.025200840342548457,-8.20060269378962,0.03918012702851559,38.50010362028827,2.1661945677818936e-06,6.872
44,NGC_6121,0.35,1.85,0.02,90400.0,1120.0,1.65,0.06,5.65,0.04,2.5,3.95,4.7,3.6227267684990148,0.022441670247339028,11.335858642015069,0.023475377400175766,-6.770858642015068,0.04637988081141092,278.7360549869946,1.4609177119837253e-05,4.565
45,NGC_6101,0.05,14.45,0.19,174000.0,31100.0,2.5,0.45,8.68,0.03,9.59,13.87,3.3,2.6821700350575215,0.23969967842037052,15.799339235462835,0.028552232374262226,-7.2743392354628345,0.041415335004728236,136.891294220859,8.72642424035796e-06,8.525
46,NGC_6144,0.36,8.15,0.13,84600.0,3930.0,2.66,0.16,9.24,0.04,3.7,4.97,3.9,3.124330006439247,0.07256865795098251,14.55578804369988,0.034636983219277745,-6.43178804369988,0.05291238613531361,93.64168474632832,7.241520582085638e-06,8.124
47,NGC_6139,0.75,10.04,0.45,352000.0,34300.0,1.88,0.23,8.97,0.08,1.85,2.49,11.7,9.003711503197573,0.43867514852226824,15.008668564045003,0.09732695062572873,-8.363668564045003,0.1259862505121215,38.006960880322936,8.258797198995518e-06,6.6450000000000005
48,NGC_6171,0.33,5.63,0.08,61200.0,1650.0,1.81,0.08,8.28,0.04,2.58,3.72,3.9,3.071525702435964,0.0414053709887201,13.75254197425673,0.03085573583682073,-6.49554197425673,0.050518080268668795,94.52276427456553,6.511676430681771e-06,7.257
49,NGC_6205,0.02,7.42,0.08,484000.0,6410.0,2.05,0.08,5.81,0.04,3.47,5.21,8.9,7.298838124695393,0.04833218221001804,14.352019526395136,0.023412101450310068,-8.604019526395136,0.046347885543135736,96.4607581536097,5.04210117785696e-06,5.747999999999999
50,NGC_6229,0.01,30.11,0.47,247000.0,81200.0,1.67,0.55,9.33,0.05,3.12,4.8,6.7,5.432225259450825,0.8929082815129695,17.393553777563795,0.03389545109507279,-8.094553777563796,0.06040613880176808,21.37317147750461,1.6174502681522692e-06,9.299
51,NGC_6218,0.19,5.11,0.05,106000.0,1890.0,1.89,0.08,7.09,0.04,2.72,4.08,4.7,3.8598707631174403,0.034411111991943216,13.542104500673563,0.021247283850452627,-7.041104500673564,0.04529290309774485,109.7926066546335,5.208311911597502e-06,6.5009999999999994
53,NGC_6235,0.31,11.94,0.38,96000.0,18000.0,2.3,0.44,9.62,0.04,3.36,5.07,4.1,3.295198259486425,0.3089248368268523,15.385021633966751,0.06910883715378378,-6.726021633966752,0.07985005555882979,58.044366054946394,8.95600208531714e-06,8.658999999999999
54,NGC_6254,0.28,5.07,0.06,189000.0,2960.0,1.71,0.07,6.61,0.04,2.99,4.75,6.2,4.776766473031383,0.037405367090404484,13.525039796666679,0.025697898337470517,-7.783039796666679,0.047543474620214396,121.64333317151416,6.97921165245342e-06,5.742
55,NGC_6256,1.09,7.24,0.29,111000.0,2780.0,1.87,0.2,10.56,0.11,2.94,4.21,5.4,3.8883948045365733,0.0486925115162688,14.298692830985736,0.08697886723200483,-7.117692830985736,0.14023310359883903,83.75946091628472,1.6265526453086282e-05,7.181
57,NGC_6266,0.47,6.03,0.09,581000.0,4090.0,2.15,0.12,6.6,0.06,1.74,2.91,14.8,10.700189877218342,0.037662458345802945,13.901586560700757,0.03241003596292923,-8.758586560700756,0.06819391784549679,59.51919617058469,4.306823729903838e-06,5.143
58,NGC_6273,0.38,8.34,0.16,719000.0,36700.0,2.32,0.15,6.88,0.04,3.16,4.7,11.6,9.366243170289534,0.2390411156812419,14.605830253188692,0.04165894310822559,-8.903830253188692,0.05775350674110081,78.15308831529492,7.269003896374048e-06,5.702
59,NGC_6284,0.28,14.21,0.42,174000.0,29300.0,1.79,0.33,8.99,0.08,2.94,4.04,6.8,4.969742125928481,0.4184294376140934,15.762970389637346,0.06418145052757415,-7.640970389637346,0.10256343691503053,42.67547654564691,6.11516875470995e-06,8.122
60,NGC_6287,0.6,7.93,0.37,130000.0,16000.0,2.52,0.35,9.4,0.07,1.94,2.81,6.8,5.150725778269352,0.31696774020119084,14.496365936588017,0.10131712377314196,-6.956365936588016,0.12314690239572479,50.460746044947086,1.1414504229797167e-05,7.540000000000001
61,NGC_6293,0.36,9.19,0.28,142000.0,11600.0,1.77,0.23,8.4,0.11,2.21,3.18,7.5,5.060349638425103,0.20669033734412398,14.816577556930557,0.06616020398961399,-7.532577556930557,0.128363439467581,49.602308271915135,7.326883010401507e-06,7.284000000000001
62,NGC_6304,0.54,6.15,0.15,103000.0,3560.0,1.29,0.09,8.18,0.07,1.83,3.05,5.7,4.400668001024995,0.07605037904683971,13.944375578877086,0.0529627416955185,-7.4383755788770864,0.0877784256403942,61.376355169370676,7.25758412836477e-06,6.505999999999999
63,NGC_6316,0.54,11.15,0.39,347000.0,43700.0,2.83,0.57,9.01,0.17,3.15,6.08,7.6,5.720880293381179,0.3602341049290454,15.236374336920896,0.07595284661088259,-7.900374336920897,0.18619568982201568,58.27211860024222,9.88155725592912e-06,7.335999999999999
64,NGC_6341,0.02,8.5,0.07,273000.0,4740.0,1.68,0.05,6.51,0.03,2.03,3.59,9.1,6.603649464328162,0.05732838545955217,14.647094628571466,0.017882713960722132,-8.199094628571466,0.03492551300412073,49.26088808480623,1.966781894741709e-06,6.4479999999999995
65,NGC_6325,0.91,7.53,0.32,61900.0,2130.0,2.2,0.11,10.9,0.04,1.72,2.38,5.3,3.8619509954231916,0.06644552197295152,14.383974881003503,0.09228036800069093,-6.304974881003503,0.10057666885686235,47.11493500329423,9.707076453505763e-06,8.079
66,NGC_6333,0.38,8.3,0.14,308000.0,23200.0,2.04,0.17,7.65,0.04,2.74,3.81,8.6,6.808677801843388,0.2564307224070887,14.59539046188037,0.036627245461720026,-8.12339046188037,0.0542361052262521,68.09223476946413,5.568296678697285e-06,6.472
67,NGC_6342,0.46,8.01,0.23,37700.0,999.0,1.63,0.11,9.86,0.07,1.48,1.86,4.6,3.4092913429271863,0.04517084949050741,14.518162580421187,0.06235189190870656,-6.084162580421188,0.0937430446731651,38.11134953455047,5.305477834025841e-06,8.434
68,NGC_6356,0.28,15.66,0.92,565000.0,80100.0,2.59,0.4,8.32,0.07,3.99,7.73,8.1,6.4741743327954415,0.4589215611123141,15.973958788609622,0.12757053746838815,-8.521958788609622,0.14551371766941226,52.55405869201374,1.4968462008373124e-05,7.452
69,NGC_6355,0.77,8.65,0.22,99100.0,2570.0,1.61,0.11,10.04,0.07,2.36,3.34,5.6,4.124900780083412,0.0534863521938162,14.685080537324072,0.055228200010818136,-7.032080537324074,0.08916363651419189,56.2757145277221,6.9390886611921795e-06,7.652999999999999
70,NGC_6352,0.22,5.54,0.07,60200.0,2120.0,2.05,0.1,8.06,0.04,3.23,4.8,3.4,2.6818071211207566,0.047221188511428605,13.71754882364215,0.0274373770155484,-6.339548823642151,0.04850576932173475,120.25907016023532,7.3668340243766155e-06,7.378
72,NGC_6366,0.71,3.44,0.05,46600.0,1910.0,2.12,0.12,8.85,0.04,3.78,6.42,2.5,2.040212278897336,0.04181121730358275,12.682792212857649,0.03156209897552702,-6.03379221285765,0.05095258670313965,226.65135285099444,1.597145178081973e-05,6.648999999999999
73,HP_1,1.12,7.0,0.14,137000.0,19100.0,3.64,0.63,11.07,0.11,3.1,4.19,5.4,4.330152431427147,0.30184639211773184,14.225490200071285,0.043429448190325175,-6.627490200071285,0.11826291460181479,91.34583679491516,8.85714112005865e-06,7.598
74,NGC_6362,0.09,7.65,0.07,117000.0,3020.0,1.73,0.08,7.45,0.04,5.13,7.24,3.7,3.044202655600554,0.03928842743552851,14.418307175768089,0.019869682178580147,-7.247307175768088,0.04466323174466651,138.3187316910745,6.136098740089762e-06,7.171
76,NGC_6380,1.17,9.61,0.3,341000.0,4820.0,2.96,0.33,10.7,0.12,3.14,4.42,8.3,6.651444436698756,0.04700874220658065,14.913616938342727,0.06778790040113192,-7.840616938342728,0.13782307296238094,67.39557425257073,1.0200091816333086e-05,7.0729999999999995
77,Ton_2,1.24,6.99,0.34,43100.0,9140.0,0.94,0.21,11.66,0.06,2.86,4.26,3.0,2.4087057436680506,0.25540104985064943,14.222385878728407,0.10562240618534019,-6.406385878728406,0.12147465862632004,84.39446537161997,1.9901716067137058e-05,7.816000000000001
78,NGC_6388,0.37,11.17,0.16,1310000.0,11400.0,2.3,0.07,6.82,0.03,2.61,5.37,16.3,11.82764872375956,0.05146381505757977,15.240265865578046,0.031104349643921343,-9.567265865578046,0.04321435602634048,48.196162444703354,3.3469877285123527e-06,5.673
79,NGC_6402,0.6,9.14,0.25,595000.0,29400.0,2.13,0.16,7.87,0.06,3.54,4.92,10.2,8.327714814343745,0.20574354247202195,14.804730978669156,0.05939475956007272,-8.794730978669156,0.08442592885600282,79.8881157115898,1.0593776690851142e-05,6.01
80,NGC_6401,0.72,7.44,0.22,121000.0,2060.0,1.83,0.09,9.97,0.05,2.31,3.17,6.0,4.6785682229950805,0.03982582867508209,14.357864677729392,0.06421020565773883,-6.619864677729391,0.08138151209340556,64.04189343012531,9.180973794105636e-06,7.738000000000001
81,NGC_6397,0.18,2.48,0.02,82400.0,1350.0,1.42,0.06,5.45,0.04,2.17,3.16,5.4,3.866962648996461,0.03167718189408509,11.972258404131082,0.01751187427029241,-7.080258404131082,0.043665383777753856,180.48165940579523,7.056446210311596e-06,4.892
82,Pal_6,1.46,7.05,0.45,85600.0,19000.0,1.39,0.32,11.6,0.06,2.27,2.91,5.1,4.107147505629001,0.4558166040125643,14.240945584956993,0.13860462188401654,-7.166945584956993,0.15103390747647097,66.41433957446661,2.055228397155346e-05,7.074
83,NGC_6426,0.36,20.71,0.35,73100.0,24400.0,2.03,0.68,11.13,0.04,5.2,7.88,2.8,2.306457690961869,0.3849354833069057,16.580900494467265,0.03669798857222069,-6.566900494467264,0.054283905213671206,51.79029309246318,4.243372551717752e-06,10.014000000000001
84,NGC_6440,1.07,8.25,0.24,569000.0,45300.0,1.81,0.26,8.97,0.13,1.32,2.8,14.0,10.795108960059386,0.4297174304839105,14.582269742749624,0.0631701064586548,-8.929269742749623,0.14453533253152248,33.00236871791521,4.654545335389094e-06,5.6530000000000005
85,NGC_6441,0.47,12.73,0.16,1390000.0,14700.0,1.86,0.14,7.12,0.08,2.14,4.3,17.6,13.615170523462385,0.07199388730032269,15.524142018268279,0.027292661863519353,-9.861142018268279,0.0845274475634773,34.67452326871555,2.1128902372238193e-06,5.663
86,NGC_6453,0.64,10.07,0.22,168000.0,3690.0,1.49,0.18,9.19,0.13,2.76,3.87,7.1,4.989408597433966,0.05479439798967659,15.01514735276809,0.04744031083352303,-7.80914735276809,0.13838563181190916,56.53335163722181,5.987875875689998e-06,7.2059999999999995
88,NGC_6496,0.15,9.64,0.15,74400.0,7400.0,1.76,0.23,8.65,0.09,4.26,7.01,3.0,2.4670467053398255,0.12268915066878164,14.920385169514155,0.03378847110243141,-6.735385169514155,0.09613355698942926,91.15020927540785,6.87617158810528e-06,8.185
89,NGC_6517,1.08,9.23,0.56,216000.0,24300.0,2.6,0.32,10.69,0.05,1.7,2.88,9.2,6.558137898852295,0.3688952568104416,14.826008505129561,0.13174697175829955,-7.484008505129562,0.14091580666299355,37.990267243231514,1.1174639761122009e-05,7.341999999999999
90,NGC_6522,0.48,7.29,0.21,214000.0,11300.0,2.46,0.15,8.28,0.03,2.48,3.15,8.2,6.241680331984155,0.164792027456591,14.313637641589875,0.06255270315478934,-7.521637641589875,0.06937463997723657,70.16964331403457,9.799769677678172e-06,6.792
91,NGC_6535,0.34,6.36,0.12,19800.0,1930.0,2.38,0.25,10.1,0.04,2.7,3.43,2.5,1.8194304040037768,0.08867425958907296,14.01728557824207,0.040971177538042615,-4.971285578242071,0.05725938690602448,87.56524267462743,8.009966516537718e-06,9.046
92,NGC_6528,0.54,7.83,0.24,94400.0,9140.0,2.97,0.4,9.71,0.1,2.45,5.01,4.6,3.2871312635615215,0.159133367314366,14.468808810289715,0.06655854128785467,-6.432808810289714,0.12012509903582622,64.54007136822305,9.590776256487484e-06,8.036000000000001
